threshold,precision,recall,f1,tp,fp,fn,tn
0.2,0.47058823529411764,0.8556149732620321,0.6072106261859582,320,360,54,675
0.3,0.5213358070500927,0.7513368983957219,0.615553121577218,281,258,93,777
0.4,0.5720823798627003,0.6684491978609626,0.6165228113440198,250,187,124,848
0.5,0.646875,0.553475935828877,0.5965417867435159,207,113,167,922
0.6,0.7177033492822966,0.40106951871657753,0.5145797598627787,150,59,224,976
